X,Y,H(X),H(Y),H(XY),H(X|Y),H(Y|X),I(X;Y),p
experiment\DMS.p0=0.2.len=1048576.bin,experiment\BSC.p=0.2.DMS.p0=0.2.len=1048576.bin,0.7219281,0.7219281,1.0586586,0.3367305,0.3367305,0.3851976,0.2
experiment\DMS.p0=0.5.len=1048576.bin,experiment\BSC.p=0.2.DMS.p0=0.5.len=1048576.bin,1.0000000,0.7219281,1.2780719,0.5561439,0.2780719,0.4438561,0.2
experiment\DMS.p0=0.9.len=1048576.bin,experiment\BSC.p=0.2.DMS.p0=0.9.len=1048576.bin,0.4689956,0.7219281,0.8812901,0.1593620,0.4123345,0.3096336,0.2
experiment\DMS.p0=0.2.len=1048576.bin,experiment\BSC.p=0.5.DMS.p0=0.2.len=1048576.bin,0.7219281,1.0000000,1.7219281,0.7219281,1.0000000,0.0000000,0.5
experiment\DMS.p0=0.5.len=1048576.bin,experiment\BSC.p=0.5.DMS.p0=0.5.len=1048576.bin,1.0000000,1.0000000,2.0000000,1.0000000,1.0000000,0.0000000,0.5
experiment\DMS.p0=0.9.len=1048576.bin,experiment\BSC.p=0.5.DMS.p0=0.9.len=1048576.bin,0.4689956,1.0000000,1.4689956,0.4689956,1.0000000,0.0000000,0.5
experiment\DMS.p0=0.2.len=1048576.bin,experiment\BSC.p=0.9.DMS.p0=0.2.len=1048576.bin,0.7219281,0.4689956,0.8812901,0.4123345,0.1593620,0.3096336,0.9
experiment\DMS.p0=0.5.len=1048576.bin,experiment\BSC.p=0.9.DMS.p0=0.5.len=1048576.bin,1.0000000,0.7219281,1.2780719,0.5561439,0.2780719,0.4438561,0.9
experiment\DMS.p0=0.9.len=1048576.bin,experiment\BSC.p=0.9.DMS.p0=0.9.len=1048576.bin,0.4689956,0.4689956,0.5586586,0.0896631,0.0896631,0.3793325,0.9
